"MES_CODICE","MES_MITTENTE","MES_DS_CODICE","MES_BINARIO","MES_RICEZIONE","MES_LOTTO","MES_RECORDS","MES_ELABORAZIONE","MES_RISPOSTA","MES_IDENTIFICATIVO","MES_ANTEPRIMA","MES_NOME_FLUSSO","MES_TRANSAZIONE","MES_MES_CODICE","MES_CLIENT","MES_SERVER","MES_DUPLICATO","MES_DESTINATARIO","MES_TIPOLOGIA","MES_ERRORE"
7.202.467,1,15,,2017-03-02 10:34:44,,,2017-03-02 10:34:44,,c850472e-206a-4ceb-9be5-5927a16d0d22,0,,7.178.632,7.202.465,"192.168.40.10","192.168.40.28:7803",,1,IN,
7.202.575,6,9,,2017-03-02 10:39:22,,,2017-03-02 10:39:23,,,0,,7.178.740,,"192.168.40.10","192.168.40.28:7803",,1,IN,
7.202.616,11,21,,2017-03-02 10:40:33,,,2017-03-02 10:40:34,,RML-INTE-00000053689C,0,,7.178.781,,"192.168.2.131","192.168.40.28:7803",,1,IN,
7.202.625,5,15,,2017-03-02 10:40:49,,,2017-03-02 10:40:49,,,0,,7.178.790,,"192.168.40.150","192.168.40.28:7804",,1,IN,
7.202.736,6,9,,2017-03-02 10:42:40,,,2017-03-02 10:42:40,,,0,,7.178.900,,"192.168.40.11","192.168.40.28:7803",,1,IN,
7.202.825,1,26,,2017-03-02 10:46:08,,,2017-03-02 10:46:15,,"995e40b8-fb9b-455e-b64f-8324b43f4a43",0,,7.178.989,7.202.824,"192.168.40.28:7804",http://192.168.2.131/SIR/Contravvenzioni/SistemaArea.asmx,,11,OUT,
7.202.834,5,13,,2017-03-02 10:46:44,,,2017-03-02 10:46:44,,,0,,7.178.998,,"192.168.40.150","192.168.40.28:7804",,1,IN,
7.202.882,1,27,,2017-03-02 10:48:23,,,2017-03-02 10:48:23,,ebf1b4b6-c858-4a88-b4e7-b2190e3b3fc9,0,,7.179.046,7.202.879,"192.168.40.28:7803",http://192.168.20.110/FedFisMW/services/FedFisMWGen,,5,OUT,
7.202.928,23,46,,2017-03-02 10:49:26,,,2017-03-02 10:49:26,,FRA|83a7c0c5-cad3-48ac-b0a8-41b5aed25779,0,,7.179.092,,"192.168.40.29","192.168.40.28:7803",,1,IN,
7.203.040,2,21,,2017-03-02 10:53:42,,,2017-03-02 10:53:42,,"73872",0,,7.179.204,,"192.168.40.10","192.168.40.28:7803",,1,IN,
7.203.092,5,13,,2017-03-02 10:55:42,,,2017-03-02 10:55:43,,,0,,7.179.256,,"192.168.40.150","192.168.40.28:7804",,1,IN,
7.203.232,5,13,,2017-03-02 11:00:46,,,2017-03-02 11:00:47,,,0,,7.179.396,,"192.168.40.151","192.168.40.28:7804",,1,IN,
7.203.287,2,21,,2017-03-02 11:03:08,,,2017-03-02 11:03:09,,"73883",0,,7.179.451,,"192.168.40.11","192.168.40.28:7803",,1,IN,
7.203.311,6,9,,2017-03-02 11:04:02,,,2017-03-02 11:04:02,,,0,,7.179.475,,"192.168.40.10","192.168.40.28:7803",,1,IN,
7.203.505,1,10,,2017-03-02 11:11:19,,,2017-03-02 11:11:19,,,0,,7.179.669,7.203.503,"192.168.40.150","192.168.40.28:7804",,1,IN,
7.203.674,1,23,,2017-03-02 11:21:07,,,2017-03-02 11:21:14,,"9b8cd0ec-920a-4824-aed2-d967763e901e",0,,7.179.838,7.203.673,"192.168.40.151","192.168.40.28:7804",,1,IN,
7.203.787,5,13,,2017-03-02 11:25:41,,,2017-03-02 11:25:41,,,0,,7.179.951,,"192.168.40.150","192.168.40.28:7804",,1,IN,
7.203.828,6,9,,2017-03-02 11:27:43,,,2017-03-02 11:27:43,,,0,,7.179.992,,"192.168.40.11","192.168.40.28:7803",,1,IN,
7.203.908,5,15,,2017-03-02 11:31:51,,,2017-03-02 11:31:51,,,0,,7.180.072,,"192.168.40.150","192.168.40.28:7804",,1,IN,
7.204.033,6,10,,2017-03-02 11:35:53,,,2017-03-02 11:35:53,,,0,,7.180.197,,"192.168.40.10","192.168.40.28:7803",,1,IN,
7.204.144,6,9,,2017-03-02 11:42:03,,,2017-03-02 11:42:03,,,0,,7.180.307,,"192.168.40.10","192.168.40.28:7803",,1,IN,
7.204.167,5,13,,2017-03-02 11:42:44,,,2017-03-02 11:42:44,,,0,,7.180.330,,"192.168.40.151","192.168.40.28:7804",,1,IN,
7.204.240,1,27,,2017-03-02 11:46:17,,,2017-03-02 11:46:17,,a6fcf964-b42d-44dc-85c0-21c6f10965ed,0,,7.180.403,7.204.236,"192.168.40.28:7803",http://192.168.20.110/FedFisMW/services/FedFisMWGen,,5,OUT,
7.204.254,1,25,,2017-03-02 11:46:48,,,2017-03-02 11:46:49,,b48bb3de-2510-48c5-8703-fcb17f0060c0,0,,7.180.417,7.204.253,"192.168.40.28:7803",http://192.168.20.107/mesis-posizioni-creditorie-wsrouter/SistemaArea,,2,OUT,
7.204.281,23,46,,2017-03-02 11:47:43,,,2017-03-02 11:47:43,,LER|74f3a3ee-9e47-437a-bf9c-36c54a3da2c4,0,,7.180.444,,"192.168.40.30","192.168.40.28:7803",,1,IN,
7.204.329,1,27,,2017-03-02 11:49:35,,,2017-03-02 11:49:36,,"14d1080c-311d-42ea-a52c-d0b700ae0034",0,,7.180.492,7.204.327,"192.168.40.28:7803",http://192.168.20.110/FedFisMW/services/FedFisMWGen,,5,OUT,
7.204.358,6,9,,2017-03-02 11:50:59,,,2017-03-02 11:50:59,,,0,,7.180.521,,"192.168.40.10","192.168.40.28:7803",,1,IN,
7.204.451,6,9,,2017-03-02 11:55:31,,,2017-03-02 11:55:32,,,0,,7.180.614,,"192.168.40.11","192.168.40.28:7803",,1,IN,
7.204.544,5,13,,2017-03-02 12:00:48,,,2017-03-02 12:00:48,,,0,,7.180.707,,"192.168.40.151","192.168.40.28:7804",,1,IN,
7.204.689,23,46,,2017-03-02 12:06:09,,,2017-03-02 12:06:09,,FRA|472e5709-0ac8-443f-a484-6fb5a8f424fd,0,,7.180.852,,"192.168.40.30","192.168.40.28:7803",,1,IN,
7.204.786,1,15,,2017-03-02 12:10:14,,,2017-03-02 12:10:14,,aabbe547-3f55-4591-acc9-46f4411f865f,0,,7.180.949,7.204.783,"192.168.40.11","192.168.40.28:7803",,1,IN,
7.204.881,5,18,,2017-03-02 12:15:00,,,2017-03-02 12:15:04,,e4d2d9aa-4130-42d7-8e48-39d8bf54da2f,0,,7.181.044,,"192.168.40.151","192.168.40.28:7802",,1,IN,
7.205.030,6,9,,2017-03-02 12:20:51,,,2017-03-02 12:20:51,,,0,,7.181.193,,"192.168.40.11","192.168.40.28:7803",,1,IN,
7.205.112,5,13,,2017-03-02 12:24:48,,,2017-03-02 12:24:48,,,0,,7.181.275,,"192.168.40.150","192.168.40.28:7804",,1,IN,
7.205.131,2,21,,2017-03-02 12:25:35,,,2017-03-02 12:25:35,,"73971",0,,7.181.294,,"192.168.40.10","192.168.40.28:7803",,1,IN,
7.205.182,1,10,,2017-03-02 12:28:58,,,2017-03-02 12:28:59,,,0,,7.181.345,7.205.180,"192.168.40.11","192.168.40.28:7803",,1,IN,
7.205.299,23,45,,2017-03-02 12:35:17,,,2017-03-02 12:35:17,,FRA|a4fc6927-2718-4616-b4e7-6bacb35f7e6f,0,,7.181.462,,"192.168.40.29","192.168.40.28:7803",,1,IN,
7.205.315,5,13,,2017-03-02 12:35:40,,,2017-03-02 12:35:40,,,0,,7.181.478,,"192.168.40.151","192.168.40.28:7804",,1,IN,
7.205.378,1,23,,2017-03-02 12:38:16,,,2017-03-02 12:38:22,,d3e366d3-c9d0-4d55-a329-c6aa070d232e,0,,7.181.541,7.205.377,"192.168.40.150","192.168.40.28:7804",,1,IN,
7.205.427,1,27,,2017-03-02 12:40:31,,,2017-03-02 12:40:32,,fab2738e-bd48-4b4f-be97-0fd08ad25b5a,0,,7.181.590,7.205.425,"192.168.40.28:7803",http://192.168.20.110/FedFisMW/services/FedFisMWGen,,5,OUT,
7.205.593,5,15,,2017-03-02 12:48:29,,,2017-03-02 12:48:29,,,0,,7.181.755,,"192.168.40.150","192.168.40.28:7804",,1,IN,
7.205.740,1,15,,2017-03-02 12:58:14,,,2017-03-02 12:58:14,,"4edb1d45-7732-4a9d-8ba6-340fc3f3e5f1",0,,7.181.902,7.205.739,"192.168.40.11","192.168.40.28:7803",,1,IN,
7.205.778,5,15,,2017-03-02 13:01:32,,,2017-03-02 13:01:32,,,0,,7.181.940,,"192.168.40.150","192.168.40.28:7804",,1,IN,
7.205.944,5,15,,2017-03-02 13:16:56,,,2017-03-02 13:16:56,,,0,,7.182.106,,"192.168.40.151","192.168.40.28:7804",,1,IN,
7.206.040,1,10,,2017-03-02 13:24:59,,,2017-03-02 13:24:59,,,0,,7.182.202,7.205.941,SPQR086,SPQR086,,1,IN,
7.206.084,1,15,,2017-03-02 13:29:57,,,2017-03-02 13:29:57,,"2b9d9b90-20e4-4041-a8a4-209e067e6a22",0,,7.182.246,7.206.083,"192.168.40.11","192.168.40.28:7803",,1,IN,
7.206.205,1,10,,2017-03-02 13:40:49,,,2017-03-02 13:40:49,,,0,,7.182.367,7.206.202,"192.168.40.151","192.168.40.28:7804",,1,IN,
7.206.207,6,10,,2017-03-02 13:41:03,,,2017-03-02 13:41:03,,,0,,7.182.369,,"192.168.40.11","192.168.40.28:7803",,1,IN,
7.206.266,6,9,,2017-03-02 13:47:01,,,2017-03-02 13:47:01,,,0,,7.182.427,,"192.168.40.11","192.168.40.28:7803",,1,IN,
7.206.351,6,21,,2017-03-02 13:57:07,,,2017-03-02 13:57:08,,PPA138078,0,,7.182.512,,"192.168.40.11","192.168.40.28:7803",,1,IN,
7.206.389,5,13,,2017-03-02 14:00:42,,,2017-03-02 14:00:42,,,0,,7.182.550,,"192.168.40.151","192.168.40.28:7804",,1,IN,
7.206.536,1,26,,2017-03-02 14:12:38,,,2017-03-02 14:12:45,,e178bafe-75d2-4696-8e89-34726a8f9bc2,0,,7.182.697,7.206.535,"192.168.40.28:7804",http://192.168.2.131/SIR/Contravvenzioni/SistemaArea.asmx,,11,OUT,
7.206.764,6,10,,2017-03-02 14:24:28,,,2017-03-02 14:24:28,,,0,,7.182.925,,"192.168.40.11","192.168.40.28:7803",,1,IN,
7.206.847,2,21,,2017-03-02 14:28:11,,,2017-03-02 14:28:11,,"74062",0,,7.183.008,,"192.168.40.10","192.168.40.28:7803",,1,IN,
7.206.893,1,22,,2017-03-02 14:29:46,,,2017-03-02 14:29:46,,,0,,7.183.054,,"192.168.40.11","192.168.40.28:7803",,1,IN,
7.207.135,5,15,,2017-03-02 14:41:10,,,2017-03-02 14:41:10,,,0,,7.183.296,,"192.168.40.150","192.168.40.28:7804",,1,IN,
7.207.193,1,25,,2017-03-02 14:43:09,,,2017-03-02 14:43:10,,db308a65-1543-48a9-8061-0733ef9b555d,0,,7.183.353,7.207.192,"192.168.40.28:7803",http://192.168.20.107/mesis-posizioni-creditorie-wsrouter/SistemaArea,,2,OUT,
7.207.347,1,15,,2017-03-02 14:50:18,,,2017-03-02 14:50:18,,f0be1fbe-cfde-46be-9e74-99e2c7e38413,0,,7.183.507,7.207.346,"192.168.40.10","192.168.40.28:7803",,1,IN,
7.207.350,11,10,,2017-03-02 14:50:21,,,2017-03-02 14:50:22,,RML-INTE-00000053725B,0,,7.183.510,,"192.168.2.131","192.168.40.28:7803",,1,IN,
7.207.366,1,26,,2017-03-02 14:50:43,,,2017-03-02 14:50:43,,"67a1cd1e-c978-446c-91f5-bb24b787590e",0,,7.183.526,7.207.365,"192.168.40.28:7803",http://192.168.20.107/mesis-posizioni-creditorie-wsrouter/SistemaArea,,2,OUT,
7.207.413,1,26,,2017-03-02 14:53:12,,,2017-03-02 14:53:13,,"0bbdbca7-26cf-4957-8c92-0cebbb10ca70",0,,7.183.573,7.207.412,"192.168.40.28:7803",http://192.168.20.107/mesis-posizioni-creditorie-wsrouter/SistemaArea,,2,OUT,
7.207.415,6,9,,2017-03-02 14:53:20,,,2017-03-02 14:53:20,,,0,,7.183.575,,"192.168.40.10","192.168.40.28:7803",,1,IN,
7.207.486,6,10,,2017-03-02 14:54:59,,,2017-03-02 14:54:59,,,0,,7.183.646,,"192.168.40.11","192.168.40.28:7803",,1,IN,
7.208.008,6,9,,2017-03-02 15:16:47,,,2017-03-02 15:16:47,,,0,,7.184.168,,"192.168.40.11","192.168.40.28:7803",,1,IN,
7.208.309,1,10,,2017-03-02 15:31:11,,,2017-03-02 15:31:12,,,0,,7.184.469,7.208.307,"192.168.40.11","192.168.40.28:7803",,1,IN,
7.208.393,6,9,,2017-03-02 15:35:32,,,2017-03-02 15:35:32,,,0,,7.184.553,,"192.168.40.11","192.168.40.28:7803",,1,IN,
7.208.403,1,10,,2017-03-02 15:35:49,,,2017-03-02 15:35:50,,,0,,7.184.563,7.208.318,SPQR086,SPQR086,,1,IN,
7.208.449,6,9,,2017-03-02 15:37:37,,,2017-03-02 15:37:37,,,0,,7.184.609,,"192.168.40.10","192.168.40.28:7803",,1,IN,
7.208.528,6,10,,2017-03-02 15:40:54,,,2017-03-02 15:40:54,,,0,,7.184.688,,"192.168.40.11","192.168.40.28:7803",,1,IN,
7.208.633,1,52,,2017-03-02 15:45:02,,,2017-03-02 15:45:02,,"2437",0,,7.184.792,,"192.168.40.11","192.168.40.28:7802",,1,IN,
7.208.935,1,15,,2017-03-02 15:56:56,,,2017-03-02 15:56:56,,"0a2109a1-df4a-474e-b740-b5735c1cfcf5",0,,7.185.094,7.208.933,"192.168.40.10","192.168.40.28:7803",,1,IN,
7.209.074,23,46,,2017-03-02 16:03:02,,,2017-03-02 16:03:02,,A06|07487b63-28a3-4765-b467-51491ea967b6,0,,7.185.233,,"192.168.40.29","192.168.40.28:7803",,1,IN,
7.209.172,23,46,,2017-03-02 16:03:13,,,2017-03-02 16:03:13,,A06|cb3727c0-9a35-4207-81e8-636ac6489d6b,0,,7.185.331,,"192.168.40.29","192.168.40.28:7803",,1,IN,
7.209.230,5,15,,2017-03-02 16:06:06,,,2017-03-02 16:06:06,,,0,,7.185.389,,"192.168.40.151","192.168.40.28:7804",,1,IN,
7.209.544,1,10,,2017-03-02 16:23:46,,,2017-03-02 16:23:47,,,0,,7.185.703,7.209.543,SPQR086,SPQR086,,1,IN,
7.209.566,5,13,,2017-03-02 16:25:42,,,2017-03-02 16:25:42,,,0,,7.185.725,,"192.168.40.150","192.168.40.28:7804",,1,IN,
7.209.608,1,15,,2017-03-02 16:28:47,,,2017-03-02 16:28:47,,"243e4d31-5ebb-45a8-a05c-0def39d61de8",0,,7.185.767,7.209.607,"192.168.40.11","192.168.40.28:7803",,1,IN,
7.209.613,1,15,,2017-03-02 16:29:36,,,2017-03-02 16:29:36,,"0f5c4d44-90d1-48b2-826b-913f2ea0009f",0,,7.185.772,7.209.612,"192.168.40.10","192.168.40.28:7803",,1,IN,
7.209.802,5,13,,2017-03-02 16:44:38,,,2017-03-02 16:44:38,,,0,,7.185.960,,"192.168.40.151","192.168.40.28:7804",,1,IN,
7.209.873,5,13,,2017-03-02 16:49:38,,,2017-03-02 16:49:39,,,0,,7.186.031,,"192.168.40.151","192.168.40.28:7804",,1,IN,
7.209.967,1,27,,2017-03-02 16:55:34,,,2017-03-02 16:55:35,,"85953e64-453a-4241-9986-df7025923267",0,,7.186.125,7.209.965,"192.168.40.28:7803",http://192.168.20.110/FedFisMW/services/FedFisMWGen,,5,OUT,
7.210.011,5,13,,2017-03-02 16:58:36,,,2017-03-02 16:58:37,,,0,,7.186.169,,"192.168.40.151","192.168.40.28:7804",,1,IN,
7.210.026,1,10,,2017-03-02 16:59:42,,,2017-03-02 16:59:42,,,0,,7.186.184,7.210.023,SPQR086,SPQR086,,1,IN,
7.210.199,1,15,,2017-03-02 17:16:28,,,2017-03-02 17:16:28,,"5e4c802c-96e9-4108-a328-264d7ca42af4",0,,7.186.357,7.210.197,"192.168.40.11","192.168.40.28:7803",,1,IN,
7.210.251,1,15,,2017-03-02 17:21:25,,,2017-03-02 17:21:25,,"65d1d5c6-af17-45a2-b9df-ef3a94333a23",0,,7.186.409,7.210.249,"192.168.40.11","192.168.40.28:7803",,1,IN,
7.210.428,1,27,,2017-03-02 17:35:36,,,2017-03-02 17:35:36,,"364336c5-ee5f-4513-9c32-f8769c6e73fd",0,,7.186.586,7.210.425,"192.168.40.28:7803",http://192.168.20.110/FedFisMW/services/FedFisMWGen,,5,OUT,
7.210.468,5,15,,2017-03-02 17:38:40,,,2017-03-02 17:38:40,,,0,,7.186.626,,"192.168.40.151","192.168.40.28:7804",,1,IN,
7.210.507,1,10,,2017-03-02 17:41:48,,,2017-03-02 17:41:48,,,0,,7.186.665,7.210.448,SPQR086,SPQR086,,1,IN,
7.210.580,5,15,,2017-03-02 17:48:49,,,2017-03-02 17:48:49,,,0,,7.186.737,,"192.168.40.150","192.168.40.28:7804",,1,IN,
7.210.638,5,13,,2017-03-02 17:56:40,,,2017-03-02 17:56:40,,,0,,7.186.795,,"192.168.40.151","192.168.40.28:7804",,1,IN,
7.210.742,5,13,,2017-03-02 18:05:45,,,2017-03-02 18:05:45,,,0,,7.186.899,,"192.168.40.150","192.168.40.28:7804",,1,IN,
7.210.927,1,27,,2017-03-02 18:21:02,,,2017-03-02 18:21:02,,"6e34930b-33f1-417e-a5dc-956668f9966c",0,,7.187.084,7.210.923,"192.168.40.28:7803",http://192.168.20.110/FedFisMW/services/FedFisMWGen,,5,OUT,
7.210.950,5,13,,2017-03-02 18:23:44,,,2017-03-02 18:23:44,,,0,,7.187.107,,"192.168.40.150","192.168.40.28:7804",,1,IN,
7.211.045,5,13,,2017-03-02 18:29:44,,,2017-03-02 18:29:45,,,0,,7.187.202,,"192.168.40.151","192.168.40.28:7804",,1,IN,
7.211.085,1,27,,2017-03-02 18:32:57,,,2017-03-02 18:32:57,,"026cef30-e48d-48cc-953c-7d6d258e8626",0,,7.187.242,7.211.083,"192.168.40.28:7803",http://192.168.20.110/FedFisMW/services/FedFisMWGen,,5,OUT,
7.211.159,1,27,,2017-03-02 18:37:49,,,2017-03-02 18:37:49,,"693dbd14-f8e4-43c3-ab81-0481aef8b2d1",0,,7.187.316,7.211.157,"192.168.40.28:7803",http://192.168.20.110/FedFisMW/services/FedFisMWGen,,5,OUT,
7.211.228,5,13,,2017-03-02 18:43:44,,,2017-03-02 18:43:44,,,0,,7.187.384,,"192.168.40.151","192.168.40.28:7804",,1,IN,
7.211.311,5,13,,2017-03-02 18:49:41,,,2017-03-02 18:49:42,,,0,,7.187.467,,"192.168.40.150","192.168.40.28:7804",,1,IN,
7.211.324,5,15,,2017-03-02 18:51:01,,,2017-03-02 18:51:08,,,0,,7.187.480,,"192.168.40.151","192.168.40.28:7804",,1,IN,
7.211.555,1,26,,2017-03-02 19:09:28,,,2017-03-02 19:09:35,,"7756076c-3d1f-402a-b09b-097658b655b3",0,,7.187.711,7.211.554,"192.168.40.28:7804",http://192.168.2.131/SIR/Contravvenzioni/SistemaArea.asmx,,11,OUT,
7.211.563,1,10,,2017-03-02 19:09:45,,,2017-03-02 19:09:46,,,0,,7.187.719,7.211.562,SPQR086,SPQR086,,1,IN,
7.211.617,5,13,,2017-03-02 19:14:41,,,2017-03-02 19:14:41,,,0,,7.187.773,,"192.168.40.151","192.168.40.28:7804",,1,IN,
7.211.618,5,18,,2017-03-02 19:15:00,,,2017-03-02 19:15:04,,e731f05a-b7bb-4fb8-8811-a10157aa63f1,0,,7.187.774,,"192.168.40.151","192.168.40.28:7802",,1,IN,
7.211.761,5,13,,2017-03-02 19:31:38,,,2017-03-02 19:31:39,,,0,,7.187.917,,"192.168.40.150","192.168.40.28:7804",,1,IN,
7.212.532,6,10,,2017-03-02 22:04:17,,,2017-03-02 22:04:18,,,0,,7.188.685,,"192.168.40.11","192.168.40.28:7803",,1,IN,
7.212.581,5,13,,2017-03-02 22:15:39,,,2017-03-02 22:15:39,,,0,,7.188.734,,"192.168.40.151","192.168.40.28:7804",,1,IN,
7.212.594,1,15,,2017-03-02 22:18:14,,,2017-03-02 22:18:15,,b36d217d-879f-460a-8614-0ad61f971fbe,0,,7.188.747,7.212.588,"192.168.40.10","192.168.40.28:7803",,1,IN,
7.212.777,11,21,,2017-03-02 23:20:27,,,2017-03-02 23:20:27,,RML-R30P-00000053765C,0,,7.188.929,,"192.168.2.131","192.168.40.28:7803",,1,IN,
7.212.901,9,21,,2017-03-03 00:11:05,,,2017-03-03 00:11:05,,afd9265f-e3a3-4deb-929d-7d5bfa1c9c68,0,,7.189.052,,"192.168.40.10","192.168.40.28:7803",,1,IN,
7.212.912,5,13,,2017-03-03 00:18:32,,,2017-03-03 00:18:32,,,0,,7.189.063,,"192.168.40.151","192.168.40.28:7804",,1,IN,
7.213.045,6,16,,2017-03-03 03:42:38,26.352,0,2017-03-03 03:42:38,,"0",0,,,,,,,1,IN,
7.213.058,5,18,,2017-03-03 04:35:00,,,2017-03-03 04:35:03,,"7e952c5d-c6b7-4ca0-9e4d-cbebe0953691",0,,7.189.205,,"192.168.40.151","192.168.40.28:7802",,1,IN,
7.213.059,6,16,,2017-03-03 04:42:39,26.353,0,2017-03-03 04:42:40,,"0",0,,,,,,,1,IN,
7.213.220,5,12,,2017-03-03 08:00:00,,,2017-03-03 08:01:59,,e1e61fc3-44ba-456c-8cfd-0fdfdf3b4ccc,0,,7.189.363,,"192.168.40.151","192.168.40.28:7802",,1,IN,
7.213.233,6,9,,2017-03-03 08:00:20,,,2017-03-03 08:00:20,,,0,,7.189.376,,"192.168.40.11","192.168.40.28:7803",,1,IN,
7.213.392,6,10,,2017-03-03 08:26:37,,,2017-03-03 08:26:38,,,0,,7.189.535,,"192.168.40.10","192.168.40.28:7803",,1,IN,
7.213.736,5,15,,2017-03-03 08:48:31,,,2017-03-03 08:48:31,,,0,,7.189.878,,"192.168.40.151","192.168.40.28:7804",,1,IN,
7.213.785,23,46,,2017-03-03 08:52:21,,,2017-03-03 08:52:22,,A06|d5d09e45-337c-4d7b-8673-d1ffef31efb8,0,,7.189.927,,"192.168.40.29","192.168.40.28:7803",,1,IN,
7.213.896,14,10,,2017-03-03 08:58:28,,,2017-03-03 08:58:28,,"9434",0,,7.190.038,,"192.168.4.178","80.253.32.49:7803",,1,IN,
7.213.924,1,25,,2017-03-03 08:59:25,,,2017-03-03 08:59:25,,"265c4377-4404-4b9b-8986-cf5d0871ee4f",0,,7.190.066,7.213.923,"192.168.40.28:7803",http://192.168.20.107/mesis-posizioni-creditorie-wsrouter/SistemaArea,,2,OUT,
7.213.947,5,13,,2017-03-03 09:00:42,,,2017-03-03 09:00:42,,,0,,7.190.089,,"192.168.40.151","192.168.40.28:7804",,1,IN,
7.214.066,1,26,,2017-03-03 09:06:14,,,2017-03-03 09:06:14,,"6d66bc3d-60c6-4b31-bd71-a73e263b04e3",0,,7.190.208,7.214.065,"192.168.40.28:7803",http://192.168.20.107/mesis-posizioni-creditorie-wsrouter/SistemaArea,,2,OUT,
7.214.091,5,15,,2017-03-03 09:07:17,,,2017-03-03 09:07:17,,,0,,7.190.233,,"192.168.40.150","192.168.40.28:7804",,1,IN,
7.214.102,6,9,,2017-03-03 09:08:06,,,2017-03-03 09:08:06,,,0,,7.190.244,,"192.168.40.10","192.168.40.28:7803",,1,IN,
7.214.202,1,23,,2017-03-03 09:13:51,,,2017-03-03 09:13:52,,,0,,7.190.344,,"192.168.40.11","192.168.40.28:7803",,1,IN,
7.214.349,1,27,,2017-03-03 09:22:00,,,2017-03-03 09:22:00,,"085e4e70-5a64-4cf6-80a5-910d992cc66e",0,,7.190.491,7.214.344,"192.168.40.28:7803",http://192.168.20.110/FedFisMW/services/FedFisMWGen,,5,OUT,
7.214.402,23,46,,2017-03-03 09:25:37,,,2017-03-03 09:25:37,,LER|7d8a2284-d00d-4d85-ba86-08522f602e8c,0,,7.190.544,,"192.168.40.30","192.168.40.28:7803",,1,IN,
7.214.499,1,27,,2017-03-03 09:32:48,,,2017-03-03 09:32:48,,"419f721a-f7ff-4817-9bf5-193894cac0e8",0,,7.190.641,7.214.495,"192.168.40.28:7803",http://192.168.20.110/FedFisMW/services/FedFisMWGen,,5,OUT,
7.214.510,1,26,,2017-03-03 09:33:16,,,2017-03-03 09:33:22,,a6b8a48e-308e-4727-9687-c7d1bc08a67b,0,,7.190.652,7.214.509,"192.168.40.28:7804",http://192.168.2.131/SIR/Contravvenzioni/SistemaArea.asmx,,11,OUT,
7.214.645,1,15,,2017-03-03 09:39:32,,,2017-03-03 09:39:32,,e0e55b46-a05f-483a-9869-f58df548e772,0,,7.190.787,7.214.644,"192.168.40.10","192.168.40.28:7803",,1,IN,
7.214.710,2,21,,2017-03-03 09:42:52,,,2017-03-03 09:42:52,,"74355",0,,7.190.851,,"192.168.40.10","192.168.40.28:7803",,1,IN,
7.214.717,2,21,,2017-03-03 09:43:14,,,2017-03-03 09:43:15,,"74356",0,,7.190.858,,"192.168.40.11","192.168.40.28:7803",,1,IN,
7.214.750,1,10,,2017-03-03 09:44:23,,,2017-03-03 09:44:23,,,0,,7.190.891,7.214.748,"192.168.40.151","192.168.40.28:7804",,1,IN,
7.214.901,5,13,,2017-03-03 09:52:41,,,2017-03-03 09:52:42,,,0,,7.191.042,,"192.168.40.150","192.168.40.28:7804",,1,IN,
7.214.982,1,27,,2017-03-03 09:57:31,,,2017-03-03 09:57:32,,ad91cd8b-84b9-4816-8d24-c6cccdafb451,0,,7.191.123,7.214.980,"192.168.40.28:7803",http://192.168.20.110/FedFisMW/services/FedFisMWGen,,5,OUT,
7.215.055,1,23,,2017-03-03 10:01:46,,,2017-03-03 10:01:53,,c147b7e9-0662-46f1-b73e-d6bc334b7e30,0,,7.191.196,7.215.054,"192.168.40.151","192.168.40.28:7804",,1,IN,
7.215.127,1,22,,2017-03-03 10:07:19,,,2017-03-03 10:07:20,,,0,,7.191.268,,"192.168.40.11","192.168.40.28:7803",,1,IN,
7.215.296,6,10,,2017-03-03 10:16:49,,,2017-03-03 10:16:49,,,0,,7.191.437,,"192.168.40.10","192.168.40.28:7803",,1,IN,
7.215.365,23,46,,2017-03-03 10:22:02,,,2017-03-03 10:22:02,,LER|0f1a1ac3-7595-407e-a6e6-02c3306184a3,0,,7.191.506,,"192.168.40.30","192.168.40.28:7803",,1,IN,
7.215.393,5,15,,2017-03-03 10:26:24,,,2017-03-03 10:26:25,,,0,,7.191.534,,"192.168.40.150","192.168.40.28:7804",,1,IN,
7.215.487,1,10,,2017-03-03 10:30:51,,,2017-03-03 10:30:51,,,0,,7.191.628,7.215.484,"192.168.40.150","192.168.40.28:7804",,1,IN,
7.215.522,1,23,,2017-03-03 10:32:20,,,2017-03-03 10:32:27,,"2558be03-65d2-4c48-bf85-301df45ad6ee",0,,7.191.663,7.215.521,"192.168.40.150","192.168.40.28:7804",,1,IN,
7.215.563,5,15,,2017-03-03 10:33:49,,,2017-03-03 10:33:49,,,0,,7.191.704,,"192.168.40.150","192.168.40.28:7804",,1,IN,
7.215.839,1,26,,2017-03-03 10:51:39,,,2017-03-03 10:51:39,,"288e584f-7ed1-444e-89bd-ffbaf2f81983",0,,7.191.979,7.215.838,"192.168.40.28:7803",http://192.168.20.107/mesis-posizioni-creditorie-wsrouter/SistemaArea,,2,OUT,
7.215.851,1,23,,2017-03-03 10:53:27,,,2017-03-03 10:53:38,,"6f0c4376-bac7-4137-8581-3b7f40067596",0,,7.191.991,7.215.850,"192.168.40.151","192.168.40.28:7804",,1,IN,
7.215.896,5,13,,2017-03-03 10:55:42,,,2017-03-03 10:55:43,,,0,,7.192.036,,"192.168.40.151","192.168.40.28:7804",,1,IN,
7.215.983,1,10,,2017-03-03 11:01:34,,,2017-03-03 11:01:34,,,0,,7.192.123,7.215.981,"192.168.40.150","192.168.40.28:7804",,1,IN,
